time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
2474.950000	6.421750	-90.084420	-1402.268990	160.394100
2524.950000	6.361920	-91.801040	-1402.612310	160.075000
2574.950000	6.341970	-92.335100	-1400.666810	159.985260
2624.950000	6.631150	-90.351450	-1400.285340	160.234550
2674.950000	6.471610	-92.640280	-1400.209050	160.174720
2724.950000	6.571320	-91.915480	-1399.140930	159.905490
2774.950000	6.661070	-92.754720	-1400.170900	160.065030
2824.950000	6.581290	-92.831010	-1399.407960	159.985260
2874.950000	6.571320	-91.801040	-1401.048280	159.955340
2924.950000	6.690980	-92.831010	-1400.628660	160.005200
2974.950000	6.840560	-91.534010	-1399.026490	160.114890
3024.950000	6.830580	-93.326920	-1397.500600	160.094950
3074.950000	6.760780	-92.449540	-1397.920220	160.124860
3124.950000	6.710920	-91.839190	-1397.996510	159.915460
3174.950000	6.800670	-92.373250	-1397.462450	159.975290
3224.950000	6.840560	-91.266980	-1398.454280	159.666170
3274.950000	6.840560	-90.961800	-1396.394330	159.486680
3324.950000	6.910360	-92.335100	-1397.462450	159.546510
3374.950000	7.059930	-93.403220	-1396.813950	159.646220
3424.950000	7.099820	-92.945450	-1398.339840	159.696080
3474.950000	7.049960	-93.288780	-1398.263540	159.696080
3524.950000	7.149680	-94.013570	-1396.775810	159.676140
3574.950000	7.179590	-95.920930	-1397.843920	159.486680
3624.950000	7.179590	-95.463160	-1398.301690	159.576420
3674.950000	7.179590	-95.882780	-1397.882070	159.516590
3724.950000	7.428880	-95.005400	-1396.508780	159.636250
3774.950000	7.299250	-95.386870	-1396.241750	159.486680
3824.950000	7.309220	-94.967250	-1397.080980	159.506620
3874.950000	7.099820	-95.310570	-1399.522400	159.646220
3924.950000	7.269340	-97.523110	-1399.293520	159.496650
3974.950000	7.309220	-95.692050	-1397.729480	159.586390
4024.950000	7.249390	-95.920930	-1398.034660	159.676140
4074.950000	7.359080	-95.425020	-1395.707690	159.486680
4124.950000	7.359080	-96.454990	-1395.097330	159.277270
4174.950000	7.169620	-96.683870	-1392.732210	159.446790
4224.950000	7.309220	-96.836460	-1390.672270	159.247360
4274.950000	7.239420	-96.950900	-1392.999240	159.486680
4324.950000	7.319200	-96.836460	-1391.397060	159.426850
4374.950000	7.279310	-96.493140	-1395.440660	159.277270
4424.950000	7.309220	-98.209760	-1392.427030	159.197500
4474.950000	7.349110	-96.645720	-1393.952920	159.067870
4524.950000	7.359080	-97.599400	-1393.151830	159.197500
4574.950000	7.528600	-96.302400	-1391.664090	159.147640
4624.950000	7.438860	-97.408670	-1392.579620	159.137670
4674.950000	7.518630	-97.675700	-1392.922950	159.107750
4724.950000	7.518630	-97.942730	-1391.702240	159.077840
4774.950000	7.518630	-96.454990	-1393.457010	159.097780
4824.950000	7.588430	-96.569430	-1393.533300	159.057900
4874.950000	7.538570	-96.798310	-1396.470630	159.077840
4924.950000	7.478740	-95.157990	-1393.609590	158.968150
4974.950000	7.658230	-95.806490	-1393.762180	159.067870
5024.950000	7.448830	-94.089870	-1394.410680	159.057900
5074.950000	7.548540	-95.920930	-1396.089160	158.918290
5124.950000	7.538570	-97.103490	-1394.296240	158.938240
5174.950000	7.757950	-96.722020	-1395.249920	158.858460
5224.950000	7.558520	-98.095310	-1394.525130	159.087810
5274.950000	7.598400	-96.722020	-1393.991070	158.838520
5324.950000	7.747980	-96.454990	-1394.143650	159.008040
5374.950000	7.588430	-96.416840	-1392.846650	159.008040
5424.950000	7.528600	-95.157990	-1392.999240	158.848490
5474.950000	7.558520	-98.667520	-1392.503330	158.778690
5524.950000	7.658230	-95.882780	-1391.664090	158.828550
5574.950000	7.678180	-97.103490	-1392.160000	158.838520
5624.950000	7.598400	-97.637550	-1391.511500	159.077840
5674.950000	7.558520	-97.027200	-1394.486980	158.798630
5724.950000	7.568490	-97.866430	-1392.770360	158.798630
